text,label
"software development engineer internship - fall 2026 (canada) amazon vancouver, british columbia, canada [linkedin] search: ai intern",1
"software engineer intern - (gcp / firebase / ai tools) brickred systems burnaby, british columbia, canada [linkedin] search: software engineer intern",1
"research intern - artificial intelligence microsoft vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"research intern - ai hardware microsoft vancouver, british columbia, canada [linkedin] search: data scientist intern",1
"data science intern (data and metrics quality team) jacobs burnaby, british columbia, canada [linkedin] search: data scientist intern",1
"co-op student, research epidemiological - bc cancer vancouver provincial health services authority vancouver, british columbia, canada [linkedin] search: machine learning co-op",0
"business operations co-op clio vancouver, british columbia, canada [linkedin] search: machine learning co-op",0
"co-op student, research aparicio lab - bc cancer vancouver provincial health services authority vancouver, british columbia, canada [linkedin] search: machine learning co-op",0
"software engineer (new grads) - vancouver giga vancouver, british columbia, canada [linkedin] search: data scientist intern",1
"li-25-2-xyz-2 bullhorn recruitment cloud test company vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"ai and data - senior consultant - data scientist ey vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"sample vacancy humanoid burnaby, british columbia, canada [linkedin] search: data scientist intern",0
entry level campus hire - gen ai data analyst capgemini greater vancouver metropolitan area [linkedin] search: data scientist intern,1
"senior machine learning / computer vision applied scientist apera ai vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"senior data scientist clio vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"senior applied scientist microsoft vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"senior applied scientist microsoft vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"senior applied scientist microsoft ai vancouver, british columbia, canada [linkedin] search: data scientist intern",0
"senior applied scientist microsoft ai vancouver, british columbia, canada [linkedin] search: data scientist intern",0
